imgCount,xrayCount,t1delImgCount,epriTotal,t1delBoxCount,t1delSlvCount,jpegCount,boxCount,epriCount,mediaQueue,xrayTotal,mediaCount,slvCount,jpegTotal,_id,t2delBoxCount,t2delSlvCount,t2delImgCount,
134,112,134,,2,16,16,2,6,,,,16,,archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-03 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-04 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-07 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-11 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-12 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-17 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-18 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-19 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-20 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-21 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-24 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-25 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-26 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-27 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-28 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-08-31 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-01 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-02 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-03 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-04 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-08 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-11 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-14 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-15 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-16 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-18 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-21 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-22 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-23 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-24 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-25 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-28 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-29 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-09-30 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-01 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-02 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-05 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-06 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-07 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-08 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-09 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-12 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-13 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-14 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-15 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-16 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-19 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-20 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-21 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-22 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-23 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-26 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-27 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-28 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-10-29 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-03 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-04 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-05 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-10 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-11 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-12 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-13 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-16 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-17 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-18 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-19 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-20 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-21 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-23 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-24 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-11-30 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-12-01 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-12-02 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-12-03 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-12-04 - archive,2,16,134,
134,112,134,,2,16,16,2,6,,,,16,,2015-12-05 - archive,2,16,134,
