imgCount,xrayCount,t1delImgCount,epriTotal,t1delBoxCount,t1delSlvCount,jpegCount,boxCount,epriCount,mediaQueue,xrayTotal,mediaCount,slvCount,jpegTotal,_id,t2delBoxCount,t2delSlvCount,t2delImgCount,
69846,31397,14599,,9,187,1109,48,61,0,,13,1111,,primary,0,0,0,
10,0,0,,0,0,1,21,0,0,,0,20,,2015-08-03 - primary,0,0,0,
12,0,0,,0,0,1,19,0,0,,0,20,,2015-08-04 - primary,0,0,0,
903,6,0,,0,0,45,21,5,0,,0,63,,2015-08-07 - primary,0,0,0,
975,6,0,,0,0,50,22,6,0,,0,68,,2015-08-11 - primary,0,0,0,
1644,6,0,,0,0,57,22,6,0,,0,75,,2015-08-12 - primary,0,0,0,
2556,6,0,,0,0,100,22,6,0,,0,118,,2015-08-17 - primary,0,0,0,
4260,152,0,,0,0,131,22,6,0,,0,149,,2015-08-18 - primary,0,0,0,
5372,625,0,,0,0,154,22,6,0,,0,172,,2015-08-19 - primary,0,0,0,
6233,955,0,,0,0,170,23,7,0,,0,188,,2015-08-20 - primary,0,0,0,
7115,1539,0,,0,0,174,23,8,0,,0,192,,2015-08-21 - primary,0,0,0,
8672,2171,0,,0,0,210,23,8,0,,0,228,,2015-08-24 - primary,0,0,0,
10281,2785,0,,0,0,238,23,9,0,,0,256,,2015-08-25 - primary,0,0,0,
11852,3383,0,,0,0,255,23,10,0,,0,273,,2015-08-26 - primary,0,0,0,
13470,4001,0,,0,0,274,23,11,0,,0,273,,2015-08-27 - primary,0,0,0,
13864,4322,0,,0,0,274,23,11,0,,0,273,,2015-08-28 - primary,0,0,0,
15462,5054,0,,0,0,285,23,12,0,,0,284,,2015-08-31 - primary,0,0,0,
16132,5576,0,,0,0,286,23,13,0,,0,285,,2015-09-01 - primary,0,0,0,
17738,6131,0,,0,0,302,23,14,0,,0,301,,2015-09-02 - primary,0,0,0,
17949,6245,0,,0,0,304,23,14,0,,0,303,,2015-09-03 - primary,0,0,0,
18735,6388,0,,0,0,327,23,14,0,,0,326,,2015-09-04 - primary,0,0,0,
18957,6610,0,,0,0,327,23,14,0,,0,326,,2015-09-08 - primary,0,0,0,
19054,6706,0,,0,0,327,23,15,0,,0,326,,2015-09-11 - primary,0,0,0,
19964,6996,0,,0,0,346,23,15,0,,0,345,,2015-09-14 - primary,0,0,0,
21553,7557,0,,0,0,373,23,15,0,,0,372,,2015-09-15 - primary,0,0,0,
21597,7593,0,,0,0,374,23,21,0,,0,373,,2015-09-16 - primary,0,0,0,
21964,7593,0,,0,0,388,23,21,0,,0,387,,2015-09-18 - primary,0,0,0,
21964,7593,0,,0,0,388,23,21,0,,0,387,,2015-09-21 - primary,0,0,0,
22315,7823,0,,0,0,396,23,22,0,,0,395,,2015-09-22 - primary,0,0,0,
22938,8130,0,,0,0,413,23,22,0,,0,411,,2015-09-23 - primary,0,0,0,
24164,8583,0,,0,0,437,23,23,0,,0,436,,2015-09-24 - primary,0,0,0,
24896,9044,0,,0,0,444,23,23,0,,0,443,,2015-09-25 - primary,0,0,0,
25902,9230,0,,0,0,465,23,24,0,,0,464,,2015-09-28 - primary,0,0,0,
27191,9599,0,,0,0,497,23,26,0,,0,496,,2015-09-29 - primary,0,0,0,
28246,9965,0,,0,0,518,39,26,0,,0,533,,2015-09-30 - primary,0,0,0,
30007,10333,0,,0,0,534,39,31,0,,0,549,,2015-10-01 - primary,0,0,0,
30651,10918,0,,0,0,534,39,31,0,,0,549,,2015-10-02 - primary,0,0,0,
31941,11300,0,,0,0,552,39,37,0,,0,567,,2015-10-05 - primary,0,0,0,
33714,11940,0,,0,0,572,39,37,0,,0,587,,2015-10-06 - primary,0,0,0,
35446,12488,0,,0,0,597,39,43,0,,0,612,,2015-10-07 - primary,0,0,0,
36096,13138,0,,0,0,597,39,43,0,,0,612,,2015-10-08 - primary,0,0,0,
36688,13728,0,,0,0,597,39,45,0,,0,612,,2015-10-09 - primary,0,0,0,
37898,14306,0,,0,0,614,39,46,0,,0,629,,2015-10-12 - primary,0,0,0,
38939,14736,0,,0,0,640,39,46,0,,0,655,,2015-10-13 - primary,0,0,0,
39754,15188,0,,0,0,659,39,48,0,,0,674,,2015-10-14 - primary,0,0,0,
